subj,wantPrevImg,strategy,switchReason,boredom,dogLiking,dogPast,dogPresent,imgBrowseDur,imgBrowseLike,age,education,gender,nationality,rating_entropy,roundedRating_entropy,ratingCorrWithAvg,corrRatingSliderPos,med_rmse_fitmodel_2vggfeat,sd_rmsemodel_2vggfeat,min_rmsemodel_2vggfeat,max_rmsemodel_2vggfeat,med_rmse_fitmodel_2vggfeatalphazero_wVzero,sd_rmsemodel_2vggfeatalphazero_wVzero,min_rmsemodel_2vggfeatalphazero_wVzero,max_rmsemodel_2vggfeatalphazero_wVzero,med_rmse_fitmodel_3vggfeat,sd_rmsemodel_3vggfeat,min_rmsemodel_3vggfeat,max_rmsemodel_3vggfeat,med_rmse_fitmodel_3vggfeatalphazero_wVzero,sd_rmsemodel_3vggfeatalphazero_wVzero,min_rmsemodel_3vggfeatalphazero_wVzero,max_rmsemodel_3vggfeatalphazero_wVzero,med_rmse_LOOavg,r_LOOavg
jeu26,no,,90,neither agree nor disagree,strongly like,yes,yes,5 - 15 min,like,33,college,male,American,4.202212789091339,2.276631114580841,0.4797538755251482,-0.0234471590557355,0.2381561160386769,0.0883905430822642,0.0525437287149875,0.355485783517419,0.2851874411538804,0.1187429999303534,0.0701333469136359,0.5163562193176561,0.1983046585269246,0.1730734167919865,0.080796330309152,0.7941321418127124,0.2226960708854141,0.1084711758113599,0.0452896428170196,0.5373754831499313,0.24004628099173556,0.08900194891037712
hvjjw,yes,"I looked at the quality of the image and how clear the eyes of the dog looked. I also looked for asymmetry in the images, and judge asymmetrical images as worse.",69,strongly disagree,strongly like,yes,yes,5 - 15 min,like,55,phd,male,European American,4.4641185949952575,2.1107651239413574,0.4210603948188512,0.0656658497808708,0.1206332947937309,0.0495449904001294,0.0638032785647172,0.2391294102547737,0.1408167923874547,0.044830337636738,0.072367949562392,0.2320087889144582,0.1071381349268318,0.0465674112284991,0.0429697031886298,0.2143612277722185,0.1183700762165562,0.0449582779753053,0.0462128967983343,0.2055245909878677,0.1609248852157943,0.09676693874366357
xj6bc,no,no but would have liked to know the breeds or seen some corgis,94,disagree,strongly like,yes,no,15 - 30 min,strongly like,56,highSchool,female,American,4.327948946197349,1.739810762180784,-0.1737958457488824,0.0627099222909663,0.1066066119269709,0.0280568247390535,0.0668990138662253,0.1666355083166543,0.1231908122448883,0.0283971290125803,0.0451242332926581,0.1435250699092349,0.0985366334410004,0.0396730411768356,0.0556088436858512,0.2199673148618391,0.1079815918700567,0.0285914504201443,0.0592689132737085,0.1616337315080673,0.28404187327823693,0.02116063579694393
3l6s4,yes,"I rated cuter dogs higher, but I also took into consideration the quality of the photo (e.g., whether it was blurry).",90,strongly disagree,strongly like,yes,no,15 - 30 min,strongly like,28,bachelorMaster,male,Vietnamese/Caucasian,4.446759117678127,2.2045129252880566,0.6664219524201366,0.0377250630876303,0.2204785125731552,0.066014036144945,0.0591896346949654,0.3024840554770419,0.2486684094792678,0.0732131309922919,0.1363708016240448,0.3879132997591063,0.1918673325936911,0.0804923694999885,0.1391160407979803,0.4504148709751616,0.2158251775629094,0.093803900938446,0.0761577266975997,0.4443655156436807,0.21143360881542697,0.04110876243906806
chb6q,no,,66,disagree,like,yes,no,30 - 60 min,like,55,bachelorMaster,male,American,4.320732357576318,1.6815919758784266,0.5128479255881319,0.0190054323388803,0.0852148056590473,0.044252805188899,0.0184938165671946,0.1924872917417338,0.1008537628124334,0.0361033898932118,0.0207494330184016,0.1526698716792139,0.0819115332219505,0.0419600657999091,0.0305891573494347,0.1758517259300873,0.08180809731248,0.0770621981414486,0.0236052610638255,0.3375427496083275,0.11757649219467403,-0.22895026420599493
kwqcc,no,,22,disagree,like,yes,no,5 - 15 min,like,57,highSchool,female,American,4.396348413637402,1.6419544868356732,0.592122611610442,0.1385148603975208,0.0660763471555566,0.0329602437130068,0.0154987376427412,0.1136937762257438,0.0880282058264013,0.0458693017904682,0.0226335782316247,0.1913584468172263,0.0438132220112104,0.0244295754378801,0.0332767448089418,0.1328376624987227,0.0614373003838076,0.0606905392230088,0.0058497559053111,0.2824094463662078,0.1215103764921947,-0.11304612859856425
czgyu,yes,"It seemed as though some pictures were real, and others were sort of composites or edits that made dogs at first appear to be realistic, but ultimately prove to be uncanny or feeling 'off', and the more off they were, the lower I rated them.",4,strongly disagree,strongly like,yes,yes,15 - 30 min,like,35,college,male,USA,4.413707890954536,2.083724551506324,0.622224221563802,0.0693919188032088,0.2064333643474368,0.0857917109827781,0.0452591157213751,0.3718299171615269,0.2071488978363175,0.0863070641093164,0.0439810486439613,0.3673603680403042,0.166693688627063,0.0755524195595364,0.0918999484894632,0.3344949806060466,0.1841807425276478,0.0780685263067476,0.0871358878203298,0.3408227786911296,0.22742112029384756,0.04115347581926787
nyp52,no,Not really,33,disagree,strongly like,yes,yes,5 - 15 min,like,68,college,male,Unitd States,4.416796964350816,2.17579540254156,0.4842958069595509,0.1078329031751892,0.2243917336398171,0.1034353994107289,0.0342557526238,0.3859736723626988,0.2288608531541995,0.1008796336115827,0.0286500601380716,0.3881191085711198,0.1981071826191988,0.0924119585399,0.0362635055731978,0.3770568780312033,0.2178769712441447,0.1232544655614266,0.0458157353410611,0.4839296121496719,0.19543507805325988,0.012009481927474449
pshnw,no,,81,disagree,like,yes,no,15 - 30 min,strongly like,31,bachelorMaster,female,American,4.451515918985077,1.791385480261534,0.0665289091983703,0.1220050377357325,0.1796756283603927,0.0724456794297055,0.0853667147590654,0.3498335060480012,0.1882424677755569,0.0759432362384305,0.0613993652701076,0.3070062956431422,0.1488349036732052,0.0566798437392104,0.1250058140638719,0.3519419230615692,0.1808562280481139,0.078008912111098,0.0760730633236814,0.374244130601771,0.2104095500459137,0.08377924255695579
faow1,no,I just went with my gut and how I felt about the image.,59,disagree,strongly like,yes,yes,15 - 30 min,like,46,bachelorMaster,female,American,4.263897124317975,2.119510632230801,0.7261689200413834,0.0696371637150494,0.1892327427673676,0.0821845007112586,0.0462367232454842,0.3241856039068819,0.2154465268298903,0.0922177274104984,0.0275283095924716,0.3530593283455946,0.175476447264366,0.0823814733368174,0.0478465269093986,0.3552696380614161,0.1812255451865354,0.1022728727900287,0.060385664259033,0.4957164615280858,0.2032198347107438,-0.05670872963654587
kuoa6,no,I rated the dogs higher if their appearance was less distorted.,72,disagree,like,no,no,5 - 15 min,like,35,college,male,USA,4.4641185949952575,1.7236010156582626,0.398138692068309,0.0045178681158898,0.1283591464996903,0.0509105387871545,0.0533522934509537,0.2471731796505664,0.1375275805834416,0.047699205223121,0.062637017152027,0.2023551852458121,0.1199649303735204,0.055490346319067,0.0514866340896125,0.2317879684269546,0.1197454879423914,0.056524669009262,0.0498057173703788,0.2509696271778469,0.13655243342516069,0.120199456872032
7df33,yes,,37,disagree,strongly like,yes,no,30 - 60 min,like,39,college,female,American,4.514529299035982,2.1527255800164795,0.5594286583073971,0.0205630515702894,0.2015024585098739,2.9326879886670283,0.0849544259510835,2.0,0.2315044970670103,0.08471926482308,0.058163354712584,0.3715736433010502,0.1739835000257312,0.1543022818334573,0.065430955319434,0.753004699456674,0.2091132489067702,0.136000870516237,0.1072827796741549,0.6427954286765438,0.21776969696969697,-0.11278615512114
mrx1q,no,,23,agree,like,yes,no,15 - 30 min,like,33,highSchool,male,American,4.544491452363294,1.7800983545823148,0.5516703351832485,-0.0006514665418692,0.1164962259685086,0.0562712135030645,0.0465376101065836,0.2689657858156644,0.140578664328791,0.0568250397213998,0.0581249238519876,0.2597282260439138,0.0980877300876958,0.0651392857050467,0.0261734681104389,0.2741426482317108,0.1101013634142708,0.0606190795847984,0.0601194065258444,0.2741530187362494,0.16071258034894403,0.004127540640272401
quzfn,no,,79,disagree,strongly like,no,yes,5 - 15 min,like,36,bachelorMaster,male,American,4.404194288340635,2.1050551629304124,0.3104019757927277,0.088366976254873,0.1865749790791578,0.0730591106868651,0.0524745287351036,0.3321410081017991,0.1900175986847652,0.0807321324299577,0.0425045010904464,0.3444673788711758,0.1646084595581846,0.0624170104386933,0.0653074807458218,0.3206389235080039,0.1707561137259116,0.0688002779165859,0.0438503302287605,0.3315913584106192,0.15721946740128556,0.0136037103735013
re1sg,no,no,69,agree,strongly like,yes,no,15 - 30 min,like,40,bachelorMaster,male,American,4.34593770959668,1.9624886364446783,0.590244303857925,0.2397573141955085,0.1331040619889686,0.0791260775536254,0.009232317346,0.3621115833676763,0.1580833129131547,0.0667901578980662,0.017853481737257,0.2488391601198305,0.1197542943435311,0.0762061299063981,0.0368833820584887,0.3289907773410269,0.1282775018333555,0.0691338732419813,0.0069342954943893,0.307622449874484,0.1367955922865014,-0.026730293783079524
j49v1,no,I tried to pick the ones I really liked.  We had a boxer that belonged to my granddaughter while she was going to college. Lacey died a year and a half ago. It really hurt.,94,disagree,strongly like,yes,no,5 - 15 min,like,74,highSchool,female,American,4.001187583145739,2.203971300819306,0.5566224303079493,0.0698414955973436,0.2256614511889688,0.0980329933482064,0.1030076072671736,0.4538934229804731,0.2569919599058392,0.1061887233688075,0.0955068320937834,0.5030480511203577,0.1785261225623576,0.1341229719145935,0.0554152394015951,0.5363037464825802,0.2044929660485204,0.1107707354164956,0.0666572335372379,0.4227467492355797,0.30752396694214873,-0.10450880409740522
19bq6,no,I just liked certain drawings of dogs.  There were a lot of flaws in them that I noticed.  So I paused on those flaws to see them closely.  ,86,disagree,strongly like,yes,yes,30 - 60 min,like,57,college,female,American,4.212593461133804,1.5188011863606732,0.7230025343458836,0.005945752127831,0.0919365825593466,0.0243072252771336,0.0401449254981754,0.1264829039093122,0.1051460054764211,0.0373896997997008,0.0279701326770616,0.1563822367595568,0.0816510473280263,0.0282299393306349,0.0392916189688382,0.1417487663921758,0.0861004004659489,0.0439298965047188,0.044206065172524,0.2379359784621456,0.2886222222222223,-0.16561402794451296
r4ron,no,not really,100,disagree,strongly like,yes,yes,15 - 30 min,like,27,highSchool,male,american,4.289102476338337,1.7612950549374762,-0.1974716326457588,0.0211858177706816,0.1242340400997974,0.0461889829985097,0.051085272364698,0.1871759043646462,0.1273560016276345,0.0474999493683696,0.0494297760218535,0.1873311203647748,0.1072170183406547,0.0503464101502808,0.053019622221942,0.2263575092271871,0.1239073259296255,0.5533804988596478,0.0476022610080935,2.0,0.20396400367309456,-0.23175936333761968
8kyd7,yes,Not really. I was kind of looking at some images to see if there were some kind of distortions and how that was effecting how the dog looked.,40,disagree,like,yes,no,5 - 15 min,like,50,bachelorMaster,male,American,4.473632197609159,2.1905977176576523,0.1207716916073399,0.0815239007895229,0.1997402800808488,0.1031685180557429,0.0583612915121533,0.4546647005822901,0.2218629605685976,0.0907082125194117,0.057676570996322,0.367888004070158,0.1839059204620812,0.1206398639040042,0.0587824549737138,0.4887398574430581,0.1943355737390593,0.1151463698125885,0.061542251809195,0.4734435503201157,0.2436943985307622,0.24577857376444084
nq3sp,no,,17,disagree,like,yes,yes,5 - 15 min,like,45,college,female,United States,4.426310566964716,2.093476593588962,0.5915885668213655,-0.0116310335713844,0.1844873137760769,0.0709290829648223,0.0784268709663241,0.3754707795723134,0.2163601186924836,0.0731839927558118,0.0954369865714366,0.4086827435860718,0.1608236776785364,0.1100813174042295,0.0589898784816774,0.5299317635976516,0.1678604547612637,0.1116014819449188,0.046104111960879,0.5112891689176983,0.18775169880624426,-0.07139666105602015
rsw55,no,,78,neither agree nor disagree,neither like nor dislike,no,no,30 - 60 min,like,34,highSchool,male,american,4.18352426694994,1.643224152191035,0.3253547008618803,-0.0669401797928389,0.1394906800751365,0.0531582729379795,0.0668619823758556,0.2368062285382418,0.1541654147406051,0.0548601279803472,0.0428055924021382,0.2338141761878356,0.1340613470429099,0.0550025894817906,0.0505650894928376,0.2345829535160009,0.1389089016323654,0.0575911452973733,0.0611519212358158,0.2348447046305149,0.186347842056933,0.06033601772664498
37o95,no,,78,disagree,strongly like,yes,yes,5 - 15 min,like,47,bachelorMaster,female,American,4.569696804383655,2.3177745984327243,0.6340889362905566,-0.0784695052069459,0.2307312892678021,0.0904617483626601,0.1041696949350472,0.4276454162184402,0.2744110363352037,0.0926270952455216,0.0778058027530741,0.4112439462730879,0.2166128452495589,0.1698846937775817,0.1002928113681669,0.7859832051728746,0.2297569517034767,0.1335643257446117,0.0838327863384376,0.6615917533506913,0.24741083562901742,0.08020304649701948
wtr4q,yes,I usually like white color doggies and I mainly concentrate on the red spot for attention check,100,strongly disagree,strongly like,yes,no,more than 2h,strongly like,38,bachelorMaster,female,USA,2.97910636948996,1.831126921532532,0.4591538907215587,-0.1322762916732585,0.2143729775140656,0.1126203380633853,0.0524012632862989,0.4204538757667315,0.2405845122783387,0.1080875328239244,0.0536376319270852,0.4334506418535598,0.1712293829543215,0.2782214320155816,0.0205690514004435,1.2542770101227567,0.1712273548667342,0.278243755424879,0.0205256103339227,1.2536965425316944,0.20791258034894394,-0.15631717716098148
ar5vx,yes,"I looked at each image for a few seconds, unless it was a dog that I really loved or if the next dog I liked a lot more.",67,disagree,strongly like,yes,no,5 - 15 min,like,37,highSchool,female,American,4.375270576841792,2.04154056753638,-0.0318218867263553,0.0465477535962372,0.1727527550164886,0.0736637638788651,0.0520858268713938,0.2949371330198741,0.2031637534171841,0.0779884494113512,0.0518193624230631,0.3360962571841138,0.1664241666396111,0.0838904721608137,0.0836508245244293,0.37529710191844,0.1673497084381543,0.0835967246797277,0.0837096699536742,0.3753904162430653,0.2093362718089991,-0.06796669193644696
6yaxg,yes,,40,neither agree nor disagree,like,yes,no,5 - 15 min,neither like nor dislike,56,college,male,Caucasian American,4.1851919948606096,1.7569129956849414,-0.023512413138228,-0.1003477744370695,0.0383881179190983,0.0182989395026009,0.0054372701803481,0.0684148496720813,0.0408457505156808,0.0173980473282081,0.0104079266175183,0.0712688431064431,0.0360133036551943,0.0172586890078015,0.0058970384274043,0.0643325514057175,0.03609966106768,0.0185996016301464,0.0041533498476325,0.0750395266491108,0.07461230486685037,-0.019835279692687086
jv7jg,no,I mainly just tried to stay away.  After a few minutes it was very difficult and I started to nod off.,0,strongly agree,strongly like,yes,yes,5 - 15 min,neither like nor dislike,38,bachelorMaster,male,American,4.273410726931874,1.8369044778800463,0.231286265070913,-0.0503378569020007,0.0569209484237793,0.0233780670949549,0.0238413156909205,0.1082549296613378,0.0687012615143607,0.0186968898476763,0.0245590193559706,0.0911703262199761,0.0539236026512292,0.0262869259230666,0.0242174871667722,0.1099205277049894,0.0575077972144105,0.0347206333943106,0.0233369325599648,0.1633106799047878,0.09168411386593207,-0.04341341226499177
ms8r4,no,I tried clicking on the ones I liked the most. No strategy.,100,disagree,strongly like,yes,no,less than 5 min,strongly dislike,40,highSchool,male,American,1.6208295110038606,0.9561488519475146,0.7115362042355323,0.2107891333268201,0.3637946869781178,0.1778573114148681,0.0998821478467241,0.6317840110800813,0.4545324621786127,0.1332467954458897,0.2513796636053297,0.6787309055072461,0.3237939541462865,0.1819620417537717,0.0512292895710768,0.5833396617159704,0.3477570363443377,0.1804484173811912,0.0773208087816256,0.6503796654306959,0.48560367309458213,-0.019354486670202446
520tj,yes,No. I just looked at the images as long as they held my attention.,12,disagree,strongly like,yes,no,5 - 15 min,like,49,bachelorMaster,female, U.S. citizen,4.318435343583448,2.279614623577616,0.5585125460873359,-0.2109031078223315,0.2581068220103107,0.0638379426596472,0.1547392384645695,0.3885588997612846,0.2785183404198165,0.0650562129600226,0.0807308878123741,0.3391255602189448,0.2521142284967901,0.1419652293730466,0.1457320306085877,0.8116260977180211,0.2618186665526872,0.1407722889702689,0.105205739410901,0.7962948657437401,0.2403709825528007,-0.019655171478532085
9gjbe,no,,100,neither agree nor disagree,like,yes,no,5 - 15 min,like,53,college,female,USA,4.249534419735783,1.966634849224461,0.593671793725057,-0.0572328577431457,0.1458667729228664,0.0471730266154325,0.0199150415282983,0.1992902061308018,0.1815247278657711,0.0635560521162947,0.0607811020731425,0.2873068170148721,0.1098013108358559,0.0495072704000613,0.0342083080805749,0.2273199432629945,0.1450625704149227,0.0940568990713001,0.0142544070245787,0.4354439568311696,0.15381965105601467,0.03448871714628577
njzz4,yes,,100,strongly disagree,strongly like,yes,yes,1h - 2h,strongly like,42,highSchool,female,American,4.145716238919397,1.5321057156646172,0.5678441180200203,0.1046350007497826,0.081434679577501,0.0397775230728857,0.0354745450020028,0.1854919328804204,0.1265292690624227,0.042876264600648,0.0352811015042284,0.1828316601925492,0.0811312702532983,0.0419285824596846,0.024132742168895,0.211934392151796,0.0801327316348746,0.144978469220341,0.0362733415649651,0.6606648895328462,0.11310633608815426,0.12257907753874397
rq280,yes,I paid attention a bit longer to the dog pictures I liked most.,75,disagree,strongly like,yes,no,15 - 30 min,like,30,bachelorMaster,male,American,4.363297186913811,1.932559394522371,0.6969943517561282,0.086551138797082,0.119694904028881,0.0479657177597458,0.0262106667456806,0.2233855945938618,0.1604510766278268,0.0587150887974257,0.0673517511490517,0.2986518437260345,0.1085989707169754,0.0456228730399815,0.0298099151638883,0.2256356696741067,0.1127334052668171,0.0566978631303894,0.0248449928380496,0.2826681759490002,0.15007823691460057,0.04070735351693497
tg4o2,yes,,0,disagree,strongly like,yes,yes,5 - 15 min,like,41,college,female,American,4.531888776353114,2.2901668161130004,0.6008420416523256,0.3236764897690253,0.2245896915038058,0.103524548267563,0.1201774742610011,0.4488322736555461,0.2741898893629854,0.1108512542397549,0.0842074637406602,0.4730002684962212,0.2050172697163964,0.0822085202542774,0.1406455113865524,0.3651832634595515,0.2172432489907555,0.0901713951546686,0.1310739085659991,0.3941040621476699,0.23541965105601464,0.04403975380091349
fpt0a,no,I tried to make sense of some of the images that looked like they might be composed of more than one dog.,14,disagree,strongly like,yes,yes,5 - 15 min,like,46,bachelorMaster,male,American,4.446129831595927,2.0238228992842786,0.6633257551495831,0.0823186779945914,0.1215649419240407,0.0545169546401701,0.0205636484298525,0.2022053343872673,0.1323157917955685,0.062545317435435,0.0172995513191286,0.2213441975637042,0.0986777505049668,0.0540663387313899,0.0289275221608821,0.2233319470649297,0.106709556628591,0.0576972099569609,0.0215907399977838,0.2058269833053415,0.1234776859504132,-0.09141070408904273
k02z1,no,,100,strongly disagree,strongly like,yes,yes,5 - 15 min,like,34,college,male,american,4.536645577660064,2.072036341868379,0.5950107185691854,0.0005208213844536,0.1889035523309777,0.0478615694183302,0.0985772873997511,0.2982054347859099,0.2284789373732285,0.0723507413830969,0.122749026559306,0.3746672733557967,0.1570934623279481,0.0868846944864283,0.0563979064348042,0.3537923623014066,0.1741011386408104,0.0561856891567005,0.0964496850026461,0.3328518513337166,0.20143250688705222,0.042333468330330006
u0pc9,no,,10,strongly agree,strongly like,yes,yes,5 - 15 min,like,39,bachelorMaster,male,American,4.421553765657766,1.7477675262895804,0.2728675328929821,-0.1056725131789386,0.1052386307113243,0.032517787627768,0.0434112567746577,0.1669182654130998,0.1209535742923716,0.0372680167397908,0.0221552398672004,0.1789387561073036,0.0883539698943748,0.1221515633284309,0.0422463148432958,0.5739710276513619,0.0917315154448076,0.0449045289390313,0.0186272543343818,0.1958579591401269,0.19275078053259873,0.004371704598376937
hxal4,yes,,4,agree,strongly like,yes,no,5 - 15 min,strongly like,48,bachelorMaster,female,USA,4.419886037747095,2.292325284651143,0.7136217681699124,0.0854040635253365,0.30930396990727,0.1351410938174836,0.0359029663869689,0.570526633645764,0.3157217166851791,0.1332418138491505,0.0344184233204007,0.5649699671884462,0.1852649556124348,0.1671433519215703,0.0109195069077298,0.7432597900028486,0.1863081038755986,0.0945437107084209,0.0109425172443874,0.359063851461212,0.31366831955922875,-0.020599659818929816
h647a,no,I mostly gave the dogs mediocre ratings because I prefer short haired dogs as opposed to shaggy or curly haired dogs.,61,neither agree nor disagree,strongly like,yes,yes,15 - 30 min,like,47,college,male,United States,4.238062486215412,1.7536033462707978,0.6008895964572658,0.0496400963427184,0.0612970428720603,0.0226126286149715,0.0216787985203265,0.0938244826964551,0.0758145552740364,0.0276757554381692,0.0276489049660396,0.1289888518719682,0.0480671637505675,0.0230764772323802,0.0195790280255512,0.1032747170151603,0.0578774954476517,0.025474275042038,0.0187784448257743,0.1073360924486381,0.0926031221303949,-0.017369108412702897
r1g8p,no,,76,disagree,strongly like,yes,yes,15 - 30 min,like,43,highSchool,female,American,4.426310566964716,2.074450923839593,0.3923823237803949,0.0016136274544743,0.1710421877734673,0.0756453213060637,0.0958569500290573,0.3720222877552464,0.2046390974854042,0.093955309781184,0.053406926138456,0.3717473480930854,0.1533024429370414,0.1385326966906511,0.0612279352215153,0.572092040668356,0.1741340205384489,0.2058780015240953,0.0435290609935653,0.9609593972557045,0.1880830119375574,0.00904807359980613
89w87,no,,0,disagree,strongly like,yes,yes,15 - 30 min,like,46,bachelorMaster,male,American,4.311218754962418,1.9506675416230743,-0.1838371503570528,-0.0532644649624338,0.1628927075040265,0.0805195343869663,0.0361316992724471,0.3272150504619751,0.187036355800263,0.0844390543240168,0.030416408642655,0.3362495384667895,0.1509232921884323,0.0823791111615852,0.0515476787681914,0.3136449274039888,0.1613042571111519,0.0801333369030202,0.0265257586482389,0.3354092737434713,0.14855169880624425,0.1741072876900368
zv0ou,no,,0,neither agree nor disagree,strongly like,yes,yes,5 - 15 min,like,45,college,female,American,3.30075982862864,1.7894764761838082,0.1963903217529953,0.0429583776207209,0.1650300304405708,0.0609119952031987,0.0829152418853892,0.2877916490412306,0.2254568186005419,0.0738971184155506,0.0900554125850877,0.3581624536734473,0.1454617701886824,0.0735718291761924,0.0736484893830463,0.3558484854941556,0.19768340404161,0.0616317897764151,0.1265869908632856,0.3522555187256329,0.34639265381083567,0.17150894082752718
